"Campaign name","Ad name","Ad set name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
"2200 | DIA | Awareness | Mid Year Deals All in June | 1 - 30 June 26","Awareness | Mid Year Deals All in June | 1 - 30 June 26","2200 | DIA | Awareness | Mid Year Deals All in June | 1 - 30 June 26 [Other-Province]",25-34,male,118283,172765,357,,149,THB,3.87868482,,0.08624432,1384.69048107,2026-06-01,2026-06-29
"2200 | DIA | Awareness | Love is Sparkle | 1 - 15 June 26","Awareness | Love is Sparkle | 1 - 15 June 26","2200 | DIA | Awareness | Love is Sparkle | 1 - 15 June 26 [Other-Province]",25-34,male,94807,123650,281,1,125,THB,3.19737439,898.46220291,0.10109179,898.46220291,2026-06-01,2026-06-29
"2200 | DIA | Awareness | Mid Year Deals All in June | 1 - 30 June 26","Awareness | Mid Year Deals All in June | 1 - 30 June 26","2200 | DIA | Awareness | Mid Year Deals All in June | 1 - 30 June 26 [Other-Province]",35-44,male,70979,105729,193,,73,THB,4.32041714,,0.06904444,833.84050824,2026-06-01,2026-06-29
"2200 | DIA | Awareness | NEW ARRIVALS | 16 - 30 June 26","Awareness | NEW ARRIVALS | 16 - 30 June 26","2200 | DIA | Awareness | NEW ARRIVALS | 16 - 30 June 26",25-34,male,62967,85694,71,,96,THB,11.04293194,,0.11202651,784.04816786,2026-06-01,2026-06-29
"2200 | DIA | Awareness | MID YEAR SALE | 16 - 30 June 26","Awareness | MID YEAR SALE | 16 - 30 June 26","2200 | DIA | Awareness | MID YEAR SALE | 16 - 30 June 26",25-34,male,61608,81747,61,1,85,THB,12.47149239,760.761036,0.10397935,760.761036,2026-06-01,2026-06-29
"2200 | DIA | Awareness | Love is Sparkle | 1 - 15 June 26","Awareness | Love is Sparkle | 1 - 15 June 26","2200 | DIA | Awareness | Love is Sparkle | 1 - 15 June 26 [Other-Province]",35-44,male,75175,98830,240,1,104,THB,2.9516082,708.38596802,0.10523121,708.38596802,2026-06-01,2026-06-29
"2200 | DIA | Awareness | Mid Year Deals All in June | 1 - 30 June 26","Awareness | Mid Year Deals All in June | 1 - 30 June 26","2200 | DIA | Awareness | Mid Year Deals All in June | 1 - 30 June 26 [Other-Province]",45-54,male,55431,82764,156,1,59,THB,4.21017731,656.78766028,0.07128703,656.78766028,2026-06-01,2026-06-29
"2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26","Awareness | Pearl with Pride | 1 - 30 June 26","2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26  [BKK]",18-24,male,51154,72693,154,,58,THB,3.92762341,,0.0797876,604.8540057,2026-06-01,2026-06-29
"2200 | DIA | Awareness | Love is Sparkle | 1 - 15 June 26","Awareness | Love is Sparkle | 1 - 15 June 26","2200 | DIA | Awareness | Love is Sparkle | 1 - 15 June 26 [BKK]",25-34,male,64903,78966,250,1,116,THB,2.29160685,572.90171262,0.14689867,572.90171262,2026-06-01,2026-06-29
"2200 | DIA | Awareness | Mid Year Deals All in June | 1 - 30 June 26","Awareness | Mid Year Deals All in June | 1 - 30 June 26","2200 | DIA | Awareness | Mid Year Deals All in June | 1 - 30 June 26 [Other-Province]",55-64,male,48222,71417,178,,59,THB,3.1770283,,0.08261338,565.51103672,2026-06-01,2026-06-29
"2200 | DIA | Awareness | MID YEAR SALE | 16 - 30 June 26","Awareness | MID YEAR SALE | 16 - 30 June 26","2200 | DIA | Awareness | MID YEAR SALE | 16 - 30 June 26",35-44,male,45265,59984,31,,60,THB,18.07861398,,0.10002667,560.43703345,2026-06-01,2026-06-29
"2200 | DIA | Awareness | Love is Sparkle | 1 - 15 June 26","Awareness | Love is Sparkle | 1 - 15 June 26","2200 | DIA | Awareness | Love is Sparkle | 1 - 15 June 26 [Other-Province]",45-54,male,58567,77671,186,,62,THB,3.00891889,,0.07982387,559.65891406,2026-06-01,2026-06-29
"2200 | DIA | Message | Best Seller - สร้อยข้อมือเพชร | 12 - 30 June 26","Message | Best Seller - สร้อยข้อมือเพชร | 12 - 30 June 26","2200 | DIA | Message | Best Seller - สร้อยข้อมือเพชร | 12 - 30 June 26  [BKK]",35-44,female,3174,9124,186,29,409,THB,2.89044085,18.53868959,4.48268303,537.62199823,2026-06-01,2026-06-29
"2200 | DIA | Awareness | NEW ARRIVALS | 16 - 30 June 26","Awareness | NEW ARRIVALS | 16 - 30 June 26","2200 | DIA | Awareness | NEW ARRIVALS | 16 - 30 June 26",18-24,male,37373,53394,29,,30,THB,18.51094141,,0.05618609,536.81730101,2026-06-01,2026-06-29
"2200 | Pearl | Message | Pearl with Pride | 1 - 30 June 26","Pearl | Message | Pearl with Pride | 1 - 30 June 26","2200 | Pearl | Message | Pearl with Pride | 1 - 30 June 26  [BKK]",35-44,female,2651,6288,118,19,305,THB,4.52431679,28.09838846,4.85050891,533.86938069,2026-06-01,2026-06-29
"2200 | DIA | Awareness | NEW ARRIVALS | 16 - 30 June 26","Awareness | NEW ARRIVALS | 16 - 30 June 26","2200 | DIA | Awareness | NEW ARRIVALS | 16 - 30 June 26",35-44,male,43609,58135,32,,44,THB,16.62548551,,0.0756859,532.01553617,2026-06-01,2026-06-29
"2200 | DIA | Awareness | Love is Sparkle | 1 - 15 June 26","Awareness | Love is Sparkle | 1 - 15 June 26","2200 | DIA | Awareness | Love is Sparkle | 1 - 15 June 26 [BKK]",55-64,female,51027,70507,220,2,134,THB,2.32610272,255.87129866,0.19005205,511.74259732,2026-06-01,2026-06-29
"2200 | DIA | Awareness | Love is Sparkle | 1 - 15 June 26","Awareness | Love is Sparkle | 1 - 15 June 26","2200 | DIA | Awareness | Love is Sparkle | 1 - 15 June 26 [Other-Province]",55-64,male,51974,70023,200,,73,THB,2.53299983,,0.10425146,506.59996507,2026-06-01,2026-06-29
"2200 | DIA | Message | Love is Sparkle | 1 - 15 June 26","Message | Love is Sparkle | 1 - 15 June 26","2200 | DIA | Message | Love is Sparkle | 1 - 15 June 26 [BKK]",35-44,female,1990,5494,87,12,195,THB,5.6583908,41.02333333,3.54932654,492.28,2026-06-01,2026-06-29
"2200 | DIA | Awareness | Mid Year Deals All in June | 1 - 30 June 26","Awareness | Mid Year Deals All in June | 1 - 30 June 26","2200 | DIA | Awareness | Mid Year Deals All in June | 1 - 30 June 26 [Other-Province]",55-64,female,44092,62755,218,,80,THB,2.25374153,,0.12747988,491.31565268,2026-06-01,2026-06-29
"2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26","Awareness | Pearl with Pride | 1 - 30 June 26","2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26  [BKK]",18-24,female,42759,56215,190,,93,THB,2.57085299,,0.16543627,488.4620676,2026-06-01,2026-06-29
"2200 | DIA | Message | Love is Sparkle | 1 - 15 June 26","Message | Love is Sparkle | 1 - 15 June 26","2200 | DIA | Message | Love is Sparkle | 1 - 15 June 26 [BKK]",25-34,female,2324,6838,86,5,235,THB,5.56662791,95.746,3.43667739,478.73,2026-06-01,2026-06-29
"2200 | DIA | Awareness | MID YEAR SALE | 16 - 30 June 26","Awareness | MID YEAR SALE | 16 - 30 June 26","2200 | DIA | Awareness | MID YEAR SALE | 16 - 30 June 26",45-54,male,31440,47614,18,,27,THB,25.95292071,,0.05670601,467.15257284,2026-06-01,2026-06-29
"2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26","Awareness | Pearl with Pride | 1 - 30 June 26","2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26 [Other-Province]",18-24,male,41007,58478,134,,59,THB,3.47236348,,0.10089264,465.29670695,2026-06-01,2026-06-29
"2200 | DIA | Awareness | Love is Sparkle | 1 - 15 June 26","Awareness | Love is Sparkle | 1 - 15 June 26","2200 | DIA | Awareness | Love is Sparkle | 1 - 15 June 26 [Other-Province]",55-64,female,49091,63769,203,2,100,THB,2.26212268,229.60545189,0.15681601,459.21090377,2026-06-01,2026-06-29
"2200 | Pearl | Message | Pearl with Pride | 1 - 30 June 26","Pearl | Message | Pearl with Pride | 1 - 30 June 26","2200 | Pearl | Message | Pearl with Pride | 1 - 30 June 26  [BKK]",45-54,female,1753,4647,87,21,217,THB,5.14773987,21.32635089,4.66967936,447.85336866,2026-06-01,2026-06-29
"2200 | DIA | Awareness | NEW ARRIVALS | 16 - 30 June 26","Awareness | NEW ARRIVALS | 16 - 30 June 26","2200 | DIA | Awareness | NEW ARRIVALS | 16 - 30 June 26",45-54,male,31101,45553,39,2,46,THB,11.23951557,219.17055361,0.10098127,438.34110722,2026-06-01,2026-06-29
"2200 | DIA | Awareness | Mid Year Deals All in June | 1 - 30 June 26","Awareness | Mid Year Deals All in June | 1 - 30 June 26","2200 | DIA | Awareness | Mid Year Deals All in June | 1 - 30 June 26 [Other-Province]",25-34,female,44992,54165,111,,82,THB,3.855505,,0.15138927,427.96105531,2026-06-01,2026-06-29
"2200 | DIA | Message | Mid Year Deals All in June | 1 - 30 June 26","Message | Mid Year Deals All in June | 1 - 30 June 26","2200 | DIA | Message | Mid Year Deals All in June | 1 - 30 June 26  [BKK]",35-44,female,2622,6810,174,28,526,THB,2.45461944,15.2537065,7.72393539,427.10378192,2026-06-01,2026-06-29
"2200 | DIA | Awareness | Love is Sparkle | 1 - 15 June 26","Awareness | Love is Sparkle | 1 - 15 June 26","2200 | DIA | Awareness | Love is Sparkle | 1 - 15 June 26 [BKK]",35-44,male,47073,59186,132,1,75,THB,3.21449895,424.31386203,0.12671916,424.31386203,2026-06-01,2026-06-29
"2200 | DIA | Awareness | MID YEAR SALE | 16 - 30 June 26","Awareness | MID YEAR SALE | 16 - 30 June 26","2200 | DIA | Awareness | MID YEAR SALE | 16 - 30 June 26",18-24,male,29436,41048,17,1,19,THB,24.78091913,421.27562524,0.04628727,421.27562524,2026-06-01,2026-06-29
"2200 | DIA | Awareness | MID YEAR SALE | 16 - 30 June 26","Awareness | MID YEAR SALE | 16 - 30 June 26","2200 | DIA | Awareness | MID YEAR SALE | 16 - 30 June 26",55-64,male,26618,41939,22,,29,THB,18.74465182,,0.06914805,412.38233993,2026-06-01,2026-06-29
"2200 | DIA | Awareness | NEW ARRIVALS | 16 - 30 June 26","Awareness | NEW ARRIVALS | 16 - 30 June 26","2200 | DIA | Awareness | NEW ARRIVALS | 16 - 30 June 26",55-64,male,25580,41167,24,,39,THB,16.50564979,,0.09473608,396.13559507,2026-06-01,2026-06-29
"2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26","Awareness | Pearl with Pride | 1 - 30 June 26","2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26  [BKK]",25-34,male,39562,48287,158,,62,THB,2.50597867,,0.12839895,395.94462949,2026-06-01,2026-06-29
"2200 | DIA | Message | Best Seller - สร้อยข้อมือเพชร | 12 - 30 June 26","Message | Best Seller - สร้อยข้อมือเพชร | 12 - 30 June 26","2200 | DIA | Message | Best Seller - สร้อยข้อมือเพชร | 12 - 30 June 26  [BKK]",45-54,female,1661,4984,187,18,330,THB,2.04211117,21.21526606,6.6211878,381.87478916,2026-06-01,2026-06-29
"2200 | Pearl | Message | Pearl with Pride | 1 - 30 June 26","Pearl | Message | Pearl with Pride | 1 - 30 June 26","2200 | Pearl | Message | Pearl with Pride | 1 - 30 June 26 [Other-Province] - Copy",35-44,female,1933,5235,71,17,200,THB,5.30186349,22.14307692,3.82043935,376.43230771,2026-06-01,2026-06-29
"2200 | DIA | Message | Best Seller - สร้อยข้อมือเพชร | 12 - 30 June 26","Message | Best Seller - สร้อยข้อมือเพชร | 12 - 30 June 26","2200 | DIA | Message | Best Seller - สร้อยข้อมือเพชร | 12 - 30 June 26  [BKK]",25-34,female,2077,6144,132,19,294,THB,2.7785475,19.30359317,4.78515625,366.76827029,2026-06-01,2026-06-29
"2200 | DIA | Awareness | MID YEAR SALE | 16 - 30 June 26","Awareness | MID YEAR SALE | 16 - 30 June 26","2200 | DIA | Awareness | MID YEAR SALE | 16 - 30 June 26",55-64,female,25724,37105,48,1,61,THB,7.56737883,363.2341839,0.16439833,363.2341839,2026-06-01,2026-06-29
"2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26","Awareness | Pearl with Pride | 1 - 30 June 26","2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26 [Other-Province]",55-64,female,37478,48835,233,,111,THB,1.54366453,,0.227296,359.67383441,2026-06-01,2026-06-29
"2200 | DIA | Awareness | Mid Year Deals All in June | 1 - 30 June 26","Awareness | Mid Year Deals All in June | 1 - 30 June 26","2200 | DIA | Awareness | Mid Year Deals All in June | 1 - 30 June 26 [Other-Province]",45-54,female,35405,45510,196,,84,THB,1.79171165,,0.18457482,351.17548331,2026-06-01,2026-06-29
"2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26","Awareness | Pearl with Pride | 1 - 30 June 26","2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26 [Other-Province]",18-24,female,32653,43658,135,,58,THB,2.56927609,,0.13285079,346.85227181,2026-06-01,2026-06-29
"2200 | DIA | Message | Mid Year Deals All in June | 1 - 30 June 26","Message | Mid Year Deals All in June | 1 - 30 June 26","2200 | DIA | Message | Mid Year Deals All in June | 1 - 30 June 26  [BKK]",25-34,female,2321,6298,142,24,460,THB,2.40889457,14.2526262,7.303906,342.0630289,2026-06-01,2026-06-29
"2200 | DIA | Awareness | Mid Year Deals All in June | 1 - 30 June 26","Awareness | Mid Year Deals All in June | 1 - 30 June 26","2200 | DIA | Awareness | Mid Year Deals All in June | 1 - 30 June 26 [Other-Province]",65+,male,26064,42595,106,,50,THB,3.19985484,,0.11738467,339.18461318,2026-06-01,2026-06-29
"2200 | DIA | Awareness | Love is Sparkle | 1 - 15 June 26","Awareness | Love is Sparkle | 1 - 15 June 26","2200 | DIA | Awareness | Love is Sparkle | 1 - 15 June 26 [BKK]",45-54,male,35942,45327,121,,49,THB,2.68186203,,0.10810334,324.50530583,2026-06-01,2026-06-29
"2200 | DIA | Message | Mid Year Deals All in June | 1 - 30 June 26","Message | Mid Year Deals All in June | 1 - 30 June 26","2200 | DIA | Message | Mid Year Deals All in June | 1 - 30 June 26 [Other-Province]",35-44,female,2592,6256,165,21,458,THB,1.96605613,15.44758391,7.32097187,324.39926205,2026-06-01,2026-06-29
"2200 | DIA | Awareness | NEW ARRIVALS | 16 - 30 June 26","Awareness | NEW ARRIVALS | 16 - 30 June 26","2200 | DIA | Awareness | NEW ARRIVALS | 16 - 30 June 26",55-64,female,23676,33825,40,1,57,THB,8.08497154,323.39886152,0.16851441,323.39886152,2026-06-01,2026-06-29
"2200 | DIA | Awareness | Love is Sparkle | 1 - 15 June 26","Awareness | Love is Sparkle | 1 - 15 June 26","2200 | DIA | Awareness | Love is Sparkle | 1 - 15 June 26 [Other-Province]",45-54,female,36030,44953,118,1,56,THB,2.73587801,322.83360519,0.12457456,322.83360519,2026-06-01,2026-06-29
"2200 | DIA | Message | Pearl with Pride | 1 - 30 June 26","Message  | Pearl with Pride | 1 - 30 June 26","2200 | DIA | Message  | Pearl with Pride | 1 - 30 June 26  [BKK]",35-44,female,3131,5787,105,16,261,THB,3.05511598,20.04919863,4.51010886,320.78717805,2026-06-01,2026-06-29
"2200 | DIA | Awareness | Love is Sparkle | 1 - 15 June 26","Awareness | Love is Sparkle | 1 - 15 June 26","2200 | DIA | Awareness | Love is Sparkle | 1 - 15 June 26 [BKK]",55-64,male,34141,44769,126,,64,THB,2.53861407,,0.14295606,319.86537295,2026-06-01,2026-06-29
"2200 | DIA | Awareness | Love is Sparkle | 1 - 15 June 26","Awareness | Love is Sparkle | 1 - 15 June 26","2200 | DIA | Awareness | Love is Sparkle | 1 - 15 June 26 [BKK]",65+,female,34115,43749,146,,96,THB,2.16627003,,0.21943359,316.27542488,2026-06-01,2026-06-29
"2200 | Pearl | Message | Pearl with Pride | 1 - 30 June 26","Pearl | Message | Pearl with Pride | 1 - 30 June 26","2200 | Pearl | Message | Pearl with Pride | 1 - 30 June 26 [Other-Province] - Copy",45-54,female,1275,3418,51,9,122,THB,6.19937106,35.12976936,3.56933879,316.16792423,2026-06-01,2026-06-29
"2200 | DIA | Awareness | Love is Sparkle | 1 - 15 June 26","Awareness | Love is Sparkle | 1 - 15 June 26","2200 | DIA | Awareness | Love is Sparkle | 1 - 15 June 26 [BKK]",45-54,female,35846,43842,102,,56,THB,3.06397529,,0.1277314,312.52547912,2026-06-01,2026-06-29
"2200 | DIA | Awareness | MID YEAR SALE | 16 - 30 June 26","Awareness | MID YEAR SALE | 16 - 30 June 26","2200 | DIA | Awareness | MID YEAR SALE | 16 - 30 June 26",25-34,female,29624,35543,42,,65,THB,7.41893114,,0.18287708,311.59510769,2026-06-01,2026-06-29
"2200 | DIA | Message | Best Seller - สร้อยข้อมือเพชร | 12 - 30 June 26","Message | Best Seller - สร้อยข้อมือเพชร | 12 - 30 June 26","2200 | DIA | Message | Best Seller - สร้อยข้อมือเพชร | 12 - 30 June 26 [Other-Province]",35-44,female,2265,5984,110,12,250,THB,2.81876158,25.83864779,4.17780749,310.06377349,2026-06-01,2026-06-29
